,loss,accuracy,val_loss,val_accuracy,lr
0,6.665252685546875,0.7860075235366821,1.4963862895965576,0.7419871687889099,0.01
1,0.745247483253479,0.8799179196357727,0.3892723023891449,0.9054487347602844,0.01
2,0.3347528278827667,0.9002736806869507,0.2707922160625458,0.8958333134651184,0.01
3,0.26373234391212463,0.9187478423118591,0.48626580834388733,0.7820512652397156,0.01
4,0.22106298804283142,0.9317482113838196,0.37590882182121277,0.8557692170143127,0.01
5,0.1968824565410614,0.9403010606765747,0.41973310708999634,0.8862179517745972,0.01
6,0.3971896469593048,0.8857338428497314,0.4235929250717163,0.8589743375778198,0.01
7,0.3054676651954651,0.9002736806869507,0.21749839186668396,0.9150640964508057,0.01
8,0.25561052560806274,0.9154977798461914,0.2480435073375702,0.9230769276618958,0.01
9,0.21643786132335663,0.930208683013916,0.567956805229187,0.8669871687889099,0.01
10,0.18794237077236176,0.9440643191337585,0.25362756848335266,0.9102563858032227,0.01
11,0.17953431606292725,0.9432090520858765,0.22684253752231598,0.9230769276618958,0.01
12,0.3028717041015625,0.8987341523170471,0.2165137380361557,0.9439102411270142,0.01
13,0.2615465521812439,0.9137871861457825,0.3930913507938385,0.8509615659713745,0.01
14,0.2290494740009308,0.9278138875961304,0.2150477170944214,0.9310897588729858,0.01
15,0.1862100511789322,0.9420116543769836,0.25141018629074097,0.9278846383094788,0.01
16,0.17182162404060364,0.9483407735824585,0.259904682636261,0.9166666865348816,0.01
17,0.18204519152641296,0.9454327821731567,0.2321675419807434,0.9375,0.01
18,0.2989347279071808,0.9040369391441345,0.22265304625034332,0.9054487347602844,0.01
19,0.25153183937072754,0.9156688451766968,0.38747480511665344,0.8349359035491943,0.01
20,0.20673413574695587,0.9332877397537231,0.42899763584136963,0.7628205418586731,0.01
21,0.19323278963565826,0.9397878646850586,0.5184271335601807,0.7788461446762085,0.01
22,0.15759359300136566,0.9498802423477173,0.42313140630722046,0.9262820482254028,0.01
23,0.14856088161468506,0.9567225575447083,0.29216092824935913,0.9006410241127014,0.01
24,0.2931411862373352,0.902497410774231,0.25776591897010803,0.9102563858032227,0.01
25,0.22678406536579132,0.9303797483444214,0.30013906955718994,0.9391025900840759,0.01
26,0.1764325648546219,0.9478275775909424,0.2785634994506836,0.9166666865348816,0.01
27,0.17444607615470886,0.9507355690002441,0.26586711406707764,0.9150640964508057,0.01
28,0.14574618637561798,0.9586041569709778,0.34962713718414307,0.879807710647583,0.01
29,0.13328471779823303,0.9661306738853455,0.7506468296051025,0.8044871687889099,0.01
30,0.28066208958625793,0.9119055867195129,0.25496843457221985,0.932692289352417,0.01
31,0.2179539054632187,0.9320903420448303,0.31200727820396423,0.9118589758872986,0.01
32,0.19357745349407196,0.9355114698410034,0.3346494436264038,0.9038461446762085,0.01
33,0.15944936871528625,0.9517619013786316,0.18727459013462067,0.9471153616905212,0.01
34,0.13253071904182434,0.9639069437980652,0.1918177604675293,0.9391025900840759,0.01
35,0.12984523177146912,0.9652754068374634,0.26104089617729187,0.9278846383094788,0.01
36,0.28741157054901123,0.9120766520500183,0.21474353969097137,0.9342948794364929,0.01
37,0.2230948805809021,0.9351693391799927,0.2508261501789093,0.9294871687889099,0.01
38,0.17917963862419128,0.9515908360481262,0.22142860293388367,0.9262820482254028,0.01
39,0.1500663161277771,0.9594594836235046,0.42716461420059204,0.8429487347602844,0.01
40,0.1189630925655365,0.967670202255249,0.20842644572257996,0.9294871687889099,0.01
41,0.12787210941314697,0.9683544039726257,0.2462984174489975,0.9166666865348816,0.01
42,0.2472689300775528,0.9255901575088501,0.23096229135990143,0.8974359035491943,0.01
43,0.18575093150138855,0.9457749128341675,0.22391556203365326,0.9342948794364929,0.01
44,0.16816045343875885,0.954498827457428,0.2679043412208557,0.879807710647583,0.01
45,0.14905299246311188,0.9579199552536011,0.26035186648368835,0.8926281929016113,0.01
46,0.1251838058233261,0.9639069437980652,0.24465137720108032,0.9358974099159241,0.01
47,0.09978854656219482,0.9755388498306274,0.2263517677783966,0.9407051205635071,0.01
48,0.25600993633270264,0.9235374331474304,0.2654663622379303,0.9246794581413269,0.01
49,0.18994982540607452,0.9442353844642639,0.3227682113647461,0.8509615659713745,0.01
50,0.16369834542274475,0.9490249752998352,0.29413902759552,0.8894230723381042,0.01
51,0.13588154315948486,0.9673280715942383,0.40247541666030884,0.8862179517745972,0.01
